_id,service_name,sequence,name_mm,road_mm,the_geom
901,14,29,ကျောင်းရှေ့,အရှေ့မြင်းပြိုင်လမ်း,0101000020E6100000B3CD8DE9090B5840F64201DBC1D03040
902,14,30,အဝိုင်းထိပ်/ တာမွေ,အနောက်မြင်းပြိုင်လမ်း,0101000020E6100000D9D138D4EF0A58400EF3E505D8CF3040
903,14,31,မြလမ်း,အနောက်မြင်းပြိုင်လမ်း,0101000020E610000002F1BA7EC10A5840EB1F4432E4D03040
904,14,32,လမ်းဆုံ,ဦးချစ်မောင်လမ်း,0101000020E6100000D8BB3FDEAB0A5840855FEAE74DD13040
905,14,33,မင်းလမ်း,ဦးချစ်မောင်လမ်း,0101000020E610000097AC8A70930A58404B3CA06CCAD13040
906,14,34,ဈေးကွေ့,ဦးချစ်မောင်လမ်း,0101000020E610000040C05AB56B0A5840D42CD0EE90D23040
907,14,35,ကြားမှတ်တိုင်,ရန်ကင်းလမ်း,0101000020E610000049D576137C0A5840E02C25CB49D43040
908,14,36,ရန်ကင်းဈေး,ရန်ရှင်းလမ်းသွယ်,0101000020E6100000D5928E72300A58401500E31934D43040
909,14,37,စက်မှု (၁),အမှတ်(၁)စက်မှုဇုန်လမ်း,0101000020E61000006346787B100A58404298DBBDDCD33040
910,14,38,လမ်းနီ,ကမ္ဘာအေးဘုရားလမ်း,0101000020E6100000F81BEDB8E1095840C85C19541BD43040
911,14,39,ကုက္ကိုင်း,တက္ကသိုလ်ရိပ်သာလမ်း,0101000020E6100000B6F292FFC9095840D255BABBCED23040
912,14,40,အင်ယာမြိုင်,တက္ကသိုလ်ရိပ်သာလမ်း,0101000020E610000044DE72F563095840B56FEEAF1ED33040
913,14,41,သံလွင်,တက္ကသိုလ်ရိပ်သာလမ်း,0101000020E6100000F29716F5490958408F72309B00D33040
914,14,42,ယူအပ်ဖ်အယ်,တက္ကသိုလ်ရိပ်သာလမ်း,0101000020E610000063635E471C09584040321D3A3DD33040
915,14,43,ကျောင်းလမ်း,တက္ကသိုလ်ရိပ်သာလမ်း,0101000020E610000063D2DF4BE1085840B41D537765D33040
916,14,44,ကျောင်းရှေ့/ဓမ္မာရုံ,တက္ကသိုလ်ရိပ်သာလမ်း,0101000020E6100000BE326FD57508584073A25D8594D33040
917,14,45,လှည်းတန်းဈေး,လှည်းတန်းလမ်း,0101000020E6100000404CC2853C0858407CD11E2FA4D33040
